Bus;Dir;ID;Count;Time;Len;D0;D1;D2;D3;D4;D5;D6;D7;Period
CAN 1;In;0x101;1;336.2011;8;F1;0C;D4;04;5C;FE;8C;41;0.0000
CAN 1;In;0x201;1;336.2127;8;F1;0C;A5;00;0F;FF;F7;FF;0.0000
CAN 1;In;0x101;2;336.3152;8;01;0D;E8;04;C8;FD;EC;40;0.1140
CAN 1;In;0x201;2;336.3159;8;01;0D;8B;00;0C;FF;FD;FF;0.1032
CAN 1;In;0x101;3;336.4281;8;00;0D;20;05;F8;FD;44;41;0.1129
CAN 1;In;0x201;3;336.4292;8;00;0D;AD;00;12;FF;01;00;0.1134
CAN 1;In;0x101;4;336.5412;8;F0;0C;BC;04;18;FE;C4;40;0.1131
CAN 1;In;0x201;4;336.5421;8;F0;0C;9A;00;FA;FE;D8;FF;0.1128
CAN 1;In;0x101;5;336.6543;8;00;0D;04;05;14;FE;0C;41;0.1131
CAN 1;In;0x201;5;336.6551;8;00;0D;94;00;08;FF;E6;FF;0.1130
CAN 1;In;0x101;6;336.7672;8;F1;0C;30;05;18;FE;F4;40;0.1130
CAN 1;In;0x201;6;336.7676;8;F1;0C;A0;00;11;FF;09;00;0.1126
CAN 1;In;0x101;7;336.8800;8;F1;0C;30;05;BC;FD;20;41;0.1128
CAN 1;In;0x201;7;336.8807;8;F1;0C;93;00;25;FF;F0;FF;0.1131
CAN 1;In;0x101;8;336.9932;8;01;0D;38;05;10;FE;2C;41;0.1132
CAN 1;In;0x201;8;336.9937;8;01;0D;9D;00;20;FF;F1;FF;0.1129
CAN 1;In;0x101;9;337.1060;8;F0;0C;F8;04;48;FE;F4;40;0.1128
CAN 1;In;0x201;9;337.1066;8;F0;0C;AE;00;15;FF;F1;FF;0.1130
CAN 1;In;0x101;10;337.2190;8;01;0D;34;05;1C;FE;14;41;0.1129
CAN 1;In;0x201;10;337.2197;8;01;0D;A2;00;0A;FF;FB;FF;0.1131
CAN 1;In;0x101;11;337.3525;8;F0;0C;6C;05;0C;FE;24;41;0.1335
CAN 1;In;0x201;11;337.3634;8;F0;0C;AB;00;16;FF;E8;FF;0.1437
CAN 1;In;0x101;12;337.4757;8;00;0D;D4;04;A0;FD;04;41;0.1232
CAN 1;In;0x201;12;337.4764;8;00;0D;AC;00;11;FF;F5;FF;0.1130
CAN 1;In;0x101;13;337.5895;8;00;0D;D8;04;EC;FD;A0;41;0.1138
CAN 1;In;0x201;13;337.5909;8;00;0D;8C;00;17;FF;ED;FF;0.1144
CAN 1;In;0x101;14;337.7037;8;00;0D;F0;04;10;FE;A0;40;0.1142
CAN 1;In;0x201;14;337.7154;8;00;0D;A4;00;13;FF;FA;FF;0.1246
CAN 1;In;0x201;15;337.8140;8;F0;0C;A2;00;14;FF;E6;FF;0.0985
CAN 1;In;0x101;15;337.8141;8;F0;0C;24;05;F4;FD;38;41;0.1105
CAN 1;In;0x101;16;337.9151;8;01;0D;C4;04;D4;FD;B8;40;0.1010
CAN 1;In;0x201;16;337.9163;8;01;0D;B8;00;06;FF;F1;FF;0.1023
CAN 1;In;0x101;17;338.0286;8;F1;0C;64;05;C0;FD;A4;40;0.1134
CAN 1;In;0x201;17;338.0298;8;F1;0C;A9;00;1A;FF;F3;FF;0.1135
CAN 1;In;0x101;18;338.1423;8;F1;0C;2C;05;F8;FD;C8;40;0.1137
CAN 1;In;0x201;18;338.1430;8;F1;0C;A5;00;24;FF;F9;FF;0.1132
CAN 1;In;0x101;19;338.2552;8;F0;0C;E4;04;A4;FE;00;41;0.1129
CAN 1;In;0x201;19;338.2559;8;F0;0C;A8;00;23;FF;EE;FF;0.1129
CAN 1;In;0x101;20;338.3682;8;F0;0C;B8;04;24;FE;40;41;0.1131
CAN 1;In;0x201;20;338.3692;8;F0;0C;A2;00;21;FF;F3;FF;0.1133
CAN 1;In;0x101;21;338.4813;8;F0;0C;24;05;E8;FD;EC;40;0.1131
CAN 1;In;0x201;21;338.4821;8;F0;0C;B3;00;10;FF;E1;FF;0.1129
CAN 1;In;0x101;22;338.5944;8;00;0D;10;05;14;FE;44;41;0.1130
CAN 1;In;0x201;22;338.5951;8;00;0D;A8;00;27;FF;EC;FF;0.1130
CAN 1;In;0x101;23;338.7074;8;F1;0C;30;05;F0;FD;C4;40;0.1130
CAN 1;In;0x201;23;338.7082;8;F1;0C;9F;00;1E;FF;F8;FF;0.1131
CAN 1;In;0x101;24;338.8201;8;F0;0C;4C;05;04;FE;1C;41;0.1127
CAN 1;In;0x201;24;338.8208;8;F0;0C;91;00;20;FF;F4;FF;0.1126
CAN 1;In;0x101;25;338.9332;8;F1;0C;5C;05;50;FE;C4;40;0.1131
CAN 1;In;0x201;25;338.9592;8;F1;0C;94;00;18;FF;F5;FF;0.1384
CAN 1;In;0x201;26;339.0425;8;00;0D;B9;00;18;FF;F8;FF;0.0833
CAN 1;In;0x101;26;339.0542;8;00;0D;3C;05;20;FE;B4;40;0.1211
CAN 1;In;0x201;27;339.1597;8;F0;0C;AA;00;0F;FF;DB;FF;0.1172
CAN 1;In;0x101;27;339.1599;8;F0;0C;1C;05;BC;FD;AC;40;0.1057
CAN 1;In;0x101;28;339.2571;8;F0;0C;C4;04;38;FE;54;40;0.0972
CAN 1;In;0x201;28;339.2582;8;F0;0C;9B;00;0F;FF;FE;FF;0.0985
CAN 1;In;0x201;29;339.3736;8;F1;0C;A8;00;29;FF;01;00;0.1154
CAN 1;In;0x101;29;339.3894;8;F1;0C;44;05;F0;FD;50;41;0.1323
CAN 1;In;0x101;30;339.4759;8;F1;0C;E8;04;D8;FD;64;41;0.0865
CAN 1;In;0x201;30;339.4767;8;F1;0C;A1;00;04;FF;E9;FF;0.1030
CAN 1;In;0x101;31;339.5890;8;F0;0C;F8;04;D8;FD;1C;41;0.1130
CAN 1;In;0x201;31;339.5898;8;F0;0C;B8;00;14;FF;F9;FF;0.1132
CAN 1;In;0x101;32;339.7018;8;01;0D;EC;04;CC;FD;0C;41;0.1129
CAN 1;In;0x201;32;339.7027;8;01;0D;A1;00;26;FF;F6;FF;0.1128
CAN 1;In;0x101;33;339.8148;8;F0;0C;B8;04;40;FE;14;41;0.1130
CAN 1;In;0x201;33;339.8156;8;F0;0C;A3;00;1B;FF;E3;FF;0.1130
CAN 1;In;0x101;34;339.9278;8;F1;0C;AC;04;10;FE;F4;40;0.1130
CAN 1;In;0x201;34;339.9286;8;F1;0C;9E;00;10;FF;EF;FF;0.1130
CAN 1;In;0x101;35;340.0408;8;F1;0C;00;05;C4;FD;1C;41;0.1130
CAN 1;In;0x201;35;340.0413;8;F1;0C;93;00;13;FF;FB;FF;0.1127
CAN 1;In;0x101;36;340.1538;8;F1;0C;2C;05;E4;FD;E8;40;0.1130
CAN 1;In;0x201;36;340.1546;8;F1;0C;07;01;17;FF;EA;FF;0.1132
CAN 1;In;0x101;37;340.2667;8;F1;0C;EC;04;0C;FE;10;40;0.1129
CAN 1;In;0x201;37;340.2674;8;F1;0C;05;01;1B;FF;F5;FF;0.1129
CAN 1;In;0x101;38;340.3797;8;01;0D;EC;04;F8;FD;54;41;0.1131
CAN 1;In;0x201;38;340.3804;8;01;0D;B5;01;2A;FF;F2;FF;0.1130
CAN 1;In;0x101;39;340.4929;8;F1;0C;1C;05;80;FE;F4;40;0.1132
CAN 1;In;0x201;39;340.4932;8;F1;0C;2D;03;1C;FF;F4;FF;0.1128
CAN 1;In;0x101;40;340.6057;8;F1;0C;B4;04;E8;FE;10;41;0.1128
CAN 1;In;0x201;40;340.6064;8;F1;0C;D6;03;2D;FF;FD;FF;0.1131
CAN 1;In;0x101;41;340.7186;8;F1;0C;24;05;B8;00;88;41;0.1129
CAN 1;In;0x201;41;340.7193;8;F1;0C;6B;08;26;FF;DE;FF;0.1129
CAN 1;In;0x101;42;340.8316;8;F0;0C;EC;04;E0;02;50;41;0.1130
CAN 1;In;0x201;42;340.8323;8;F0;0C;5D;03;2B;FF;DD;FF;0.1130
CAN 1;In;0x101;43;340.9447;8;F1;0C;F4;04;AC;01;44;40;0.1131
CAN 1;In;0x201;43;340.9455;8;F1;0C;45;FB;15;FF;04;00;0.1132
CAN 1;In;0x101;44;341.0575;8;00;0D;34;05;E8;00;6C;40;0.1128
CAN 1;In;0x201;44;341.0582;8;00;0D;A2;00;0B;FF;F8;FF;0.1127
CAN 1;In;0x101;45;341.1706;8;C0;0C;44;05;94;00;E4;40;0.1131
CAN 1;In;0x201;45;341.1714;8;C0;0C;29;FF;1B;FF;F7;FF;0.1131
CAN 1;In;0x101;46;341.2894;8;40;0C;3C;05;74;00;B8;40;0.1188
CAN 1;In;0x201;46;341.3055;8;40;0C;AC;FD;1B;FF;DE;FF;0.1341
CAN 1;In;0x201;47;341.4026;8;21;0C;C7;FF;06;FF;02;00;0.0971
CAN 1;In;0x101;47;341.4182;8;21;0C;3C;05;84;FF;58;41;0.1288
CAN 1;In;0x101;48;341.5015;8;C0;0B;1C;05;40;FF;74;40;0.0832
CAN 1;In;0x201;48;341.5020;8;C0;0B;5E;01;07;FF;FB;FF;0.0994
CAN 1;In;0x101;49;341.6144;8;90;0B;28;05;F8;FF;38;41;0.1129
CAN 1;In;0x201;49;341.6153;8;90;0B;9D;00;1E;FF;F3;FF;0.1133
CAN 1;In;0x101;50;341.7275;8;61;0B;68;05;D0;FF;44;41;0.1131
CAN 1;In;0x201;50;341.7282;8;61;0B;C6;FF;16;FF;EA;FF;0.1129
CAN 1;In;0x101;51;341.8406;8;21;0B;48;05;74;FF;98;41;0.1131
CAN 1;In;0x201;51;341.8413;8;21;0B;B7;01;14;FF;E9;FF;0.1130
CAN 1;In;0x101;52;341.9534;8;F0;0A;44;05;E4;FF;F0;40;0.1128
CAN 1;In;0x201;52;341.9541;8;F0;0A;7A;FF;3B;FF;F3;FF;0.1128
CAN 1;In;0x101;53;342.0663;8;D1;0A;48;05;F8;FF;90;40;0.1130
CAN 1;In;0x201;53;342.0671;8;D1;0A;59;01;0E;FF;F9;FF;0.1131
CAN 1;In;0x101;54;342.1796;8;70;0A;08;05;08;00;98;40;0.1132
