ID;Sensor 1;Sensor 2;Sensor 3;Sensor 4
0x101;3313;1236;-420;16780
0x201;3313;165;-241;-9
0x101;3329;1256;-568;16620
0x201;3329;139;-244;-3
0x101;3328;1312;-520;16708
0x201;3328;173;-238;1
0x101;3312;1212;-488;16580
0x201;3312;154;-262;-40
0x101;3328;1284;-492;16652
0x201;3328;148;-248;-26
0x101;3313;1328;-488;16628
0x201;3313;160;-239;9
0x101;3313;1328;-580;16672
0x201;3313;147;-219;-16
0x101;3329;1336;-496;16684
0x201;3329;157;-224;-15
0x101;3312;1272;-440;16628
0x201;3312;174;-235;-15
0x101;3329;1332;-484;16660
0x201;3329;162;-246;-5
0x101;3312;1388;-500;16676
0x201;3312;171;-234;-24
0x101;3328;1236;-608;16644
0x201;3328;172;-239;-11
0x101;3328;1240;-532;16800
0x201;3328;140;-233;-19
0x101;3328;1264;-496;16544
0x201;3328;164;-237;-6
0x201;3312;162;-236;-26
0x101;3312;1316;-524;16696
0x101;3329;1220;-556;16568
0x201;3329;184;-250;-15
0x101;3313;1380;-576;16548
0x201;3313;169;-230;-13
0x101;3313;1324;-520;16584
0x201;3313;165;-220;-7
0x101;3312;1252;-348;16640
0x201;3312;168;-221;-18
0x101;3312;1208;-476;16704
0x201;3312;162;-223;-13
0x101;3312;1316;-536;16620
0x201;3312;179;-240;-31
0x101;3328;1296;-492;16708
0x201;3328;168;-217;-20
0x101;3313;1328;-528;16580
0x201;3313;159;-226;-8
0x101;3312;1356;-508;16668
0x201;3312;145;-224;-12
0x101;3313;1372;-432;16580
0x201;3313;148;-232;-11
0x201;3328;185;-232;-8
0x101;3328;1340;-480;16564
0x201;3312;170;-241;-37
0x101;3312;1308;-580;16556
0x101;3312;1220;-456;16468
0x201;3312;155;-241;-2
0x201;3313;168;-215;1
0x101;3313;1348;-528;16720
0x101;3313;1256;-552;16740
0x201;3313;161;-252;-23
0x101;3312;1272;-552;16668
0x201;3312;184;-236;-7
0x101;3329;1260;-564;16652
0x201;3329;161;-218;-10
0x101;3312;1208;-448;16660
0x201;3312;163;-229;-29
0x101;3313;1196;-496;16628
0x201;3313;158;-240;-17
0x101;3313;1280;-572;16668
0x201;3313;147;-237;-5
0x101;3313;1324;-540;16616
0x201;3313;263;-233;-22
0x101;3313;1260;-500;16400
0x201;3313;261;-229;-11
0x101;3329;1260;-520;16724
0x201;3329;437;-214;-14
0x101;3313;1308;-384;16628
0x201;3313;813;-228;-12
0x101;3313;1204;-280;16656
0x201;3313;982;-211;-3
0x101;3313;1316;184;16776
0x201;3313;2155;-218;-34
0x101;3312;1260;736;16720
0x201;3312;861;-213;-35
0x101;3313;1268;428;16452
0x201;3313;-1211;-235;4
0x101;3328;1332;232;16492
0x201;3328;162;-245;-8
0x101;3264;1348;148;16612
0x201;3264;-215;-229;-9
0x101;3136;1340;116;16568
0x201;3136;-596;-229;-34
0x201;3105;-57;-250;2
0x101;3105;1340;-124;16728
0x101;3008;1308;-192;16500
0x201;3008;350;-249;-5
0x101;2960;1320;-8;16696
0x201;2960;157;-226;-13
0x101;2913;1384;-48;16708
0x201;2913;-58;-234;-22
0x101;2849;1352;-140;16792
0x201;2849;439;-236;-23
0x101;2800;1348;-28;16624
0x201;2800;-134;-197;-13
0x101;2769;1352;-8;16528
0x201;2769;345;-242;-7
0x101;2672;1288;8;16536
0x201;2672;216;-238;-5
