Timestamp,Sensor 1,Sensor 2,Sensor 3
0,1022,892,808
100,1022,963,900
200,1022,989,948
301,1022,998,970
402,1022,1000,980
502,1022,1000,982
603,1022,999,980
703,1022,995,975
804,1022,993,972
905,1022,991,970
1005,1022,991,969
1236,1022,994,979
1337,1022,1001,986
1437,1022,1002,988
1538,1022,1002,989
1639,1018,999,986
1739,1023,1001,987
1840,1023,1001,986
1941,1023,1001,986
2041,1023,1001,986
2252,1022,950,933
2353,1022,978,954
2454,1020,977,960
2554,989,957,952
2655,951,938,939
2755,921,917,922
2856,905,901,906
2957,905,896,898
3057,906,893,891
3255,894,846,842
3355,869,851,846
3457,834,832,835
3557,795,801,811
3657,753,762,777
3758,714,723,740
3859,704,704,714
3959,705,697,699
4060,703,694,692
4254,634,600,608
4355,567,566,576
4455,510,520,534
4556,457,470,491
4657,452,454,467
4757,451,449,456
4857,451,449,452
4959,450,447,448
5059,414,422,430
5159,346,368,388
5371,198,219,258
5473,168,186,210
5573,168,177,189
5673,168,176,182
5774,168,175,179
5875,141,157,167
5976,82,117,137
6076,18,69,100
6176,0,49,78
6364,0,102,131
6464,0,82,112
6564,0,80,106
6666,0,80,105
6766,0,81,105
6866,0,81,105
6967,0,81,105
7068,0,80,101
7169,0,75,95
7269,0,70,90
7448,0,90,112
7549,0,70,93
7650,0,64,84
7750,0,59,79
7851,0,55,75
7951,0,52,72
8052,0,50,71
8153,0,49,70
8253,0,48,70
8353,0,46,69
8525,67,141,152
8626,145,175,175
8726,224,230,217
8826,242,250,240
8928,242,254,250
9028,241,254,253
9128,244,256,254
9229,288,282,269
9330,355,330,303
9431,444,399,358
9641,519,464,424
9742,519,496,470
9843,519,506,491
9944,522,511,501
10044,562,538,522
10144,635,596,566
10246,719,669,629
10346,811,754,706
10446,853,809,767
10646,853,818,789
10746,853,829,808
10848,870,844,824
10948,929,888,858
11048,1016,958,915
11149,1023,986,951
11250,1023,995,969
11351,1023,996,973
11451,1023,994,972
11660,1023,953,933
11761,1023,978,957
11862,1023,985,971
11962,1023,991,981
12063,1023,998,987
12164,1023,1002,991
12264,1023,1004,992
12364,1023,1003,991
12466,1023,1003,990
12683,1023,970,958
12783,1023,993,976
12884,1023,1001,986
12985,1023,1003,990
13085,1023,1003,990
13186,1023,1003,990
13287,1023,1002,989
13387,1023,1002,988
13488,1023,1001,986
